OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Protobuf_Serialize,41,0.473829,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,42,0.476463,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,43,0.476703,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,44,0.476139,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,45,0.477510,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,46,0.476638,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,47,0.474764,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,48,0.502075,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,49,0.475418,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,50,0.475034,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,51,0.477032,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,52,0.479215,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,53,0.474220,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,54,0.478446,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,55,0.479911,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,56,0.476436,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,57,0.479071,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,58,0.477698,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,59,0.511785,936161,400
macOS,net8.0,arm64,Protobuf_Serialize,60,0.476513,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,1,0.232796,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,2,0.234165,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,3,0.233471,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,4,0.234715,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,5,0.233835,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,6,0.237520,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,7,0.234688,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,8,0.263861,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,9,0.241692,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,10,0.236551,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,11,0.236221,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,12,0.236681,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,13,0.236733,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,14,0.239664,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,15,0.237953,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,16,0.235197,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,17,0.235023,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,18,0.237839,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,19,0.236094,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,20,0.234409,936161,400
macOS,net8.0,arm64,Protobuf_Deserialize,21,0.233465,936161,400
